Student ID,Attend Comm,General Tickets,Additional Tickets,Accommodation Tickets,Accommodation Ticket Type
60471813,Y,3,1,4,MOB-7A
60464246,Y,5,7,2,MOB-6A
60516535,Y,7,3,0, 
60567134,Y,7,0,0, 
60464586,Y,7,0,0, 
60675854,Y,4,0,0, 
60472002,Y,7,6,0, 
60478437,Y,7,6,0, 
60468026,Y,7,0,0, 
60468007,Y,7,0,0, 
60464163,Y,3,5,4,MOB-6A
60511336,Y,7,5,0, 
60471859,Y,7,0,0, 
60467887,Y,7,0,0, 
60513476,Y,7,10,0, 
60468510,Y,4,2,0, 
60488552,Y,7,0,0, 
60464280,Y,7,0,0, 
60467275,Y,7,5,0, 
60470133,Y,7,0,0, 
60464317,Y,7,3,0, 
60467989,Y,7,0,0, 
60585212,Y,7,2,0, 
60493043,Y,7,0,0, 
60577163,Y,3,3,0, 
60566448,Y,3,0,0, 
60612882,Y,7,7,0, 
60468563,Y,7,0,0, 
60632725,Y,7,5,0, 
60478461,Y,5,3,2,MOB-7A
60465964,Y,7,5,0, 
60585485,Y,6,0,0, 
60503923,Y,7,5,0, 
60649361,Y,7,0,0, 
60472631,Y,7,7,0, 
60465315,Y,7,0,0, 
60550975,Y,7,5,0, 
60464590,Y,7,2,0, 
60469113,Y,7,5,0, 
60468929,Y,7,7,0, 
60468333,Y,7,5,0, 
60464604,Y,7,0,0, 
60465351,Y,7,3,0, 
60579458,Y,7,7,0, 
60465904,Y,5,5,2,MOB-6A
60621331,Y,7,3,0, 
60491645,Y,7,3,0, 
60468182,Y,7,3,0, 
60664721,Y,7,7,0, 
60464908,Y,7,7,0, 
60465533,Y,7,5,0, 
60468529,Y,5,1,2,MOB-6A
60464214,Y,7,23,0, 
60467487,Y,7,3,0, 
60464354,Y,7,3,0, 
60467660,Y,5,10,2,MOB-6A
60469139,Y,7,0,0, 
60504395,Y,6,0,0, 
60482776,Y,7,10,0, 
60469069,Y,7,3,0, 
60478503,Y,7,5,0, 
60501100,Y,7,0,0, 
60470193,Y,7,4,0, 
60495934,Y,7,0,0, 
60535100,Y,7,10,0, 
60481095,Y,5,0,0, 
60464290,Y,7,7,0, 
60483870,Y,4,0,0, 
60607779,Y,7,0,0, 
60468326,Y,7,2,0, 
60652183,Y,7,0,0, 
60658093,Y,7,0,0, 
60628130,Y,7,5,0, 
60469493,Y,4,0,0, 
60467312,Y,7,9,0, 
60466247,Y,7,5,0, 
60464229,Y,7,4,0, 
60468297,Y,7,0,0, 
60468464,Y,7,15,0, 
60613037,Y,7,0,0, 
60472322,Y,7,0,0, 
60468961,Y,6,0,0, 
60464402,Y,7,2,0, 
60578624,Y,5,0,0, 
60551515,Y,7,7,0, 
60470530,Y,7,8,0, 
60464639,Y,7,0,0, 
60467557,Y,7,4,0, 
60464625,Y,7,5,0, 
60480108,Y,7,3,0, 
60565822,Y,7,0,0, 
60464239,Y,7,2,0, 
60464297,Y,7,10,0, 
60608270,Y,5,0,0, 
60464292,Y,7,2,0, 
60464262,Y,7,5,0, 
60531434,Y,4,0,0, 
60464344,Y,7,4,0, 
60465848,Y,7,7,0, 
60464390,Y,7,35,0, 
60550451,Y,7,2,0, 
60469948,Y,7,2,0, 
60466615,Y,7,3,0, 
60464830,Y,7,5,0, 
60467737,Y,7,7,0, 
60662324,Y,1,0,0, 
60464245,Y,7,0,0, 
60638150,Y,7,14,0, 
60478070,Y,7,0,0, 
60464731,Y,7,10,0, 
60464106,Y,5,4,2,MOB-7A
60465596,Y,7,3,0, 
60480773,Y,4,0,0, 
60577106,Y,7,0,0, 
60468000,Y,7,0,0, 
60464323,Y,7,0,0, 
60464266,Y,7,0,0, 
60468355,Y,7,0,0, 
60478676,Y,7,7,0, 
60465994,Y,7,0,0, 
60465955,Y,7,0,0, 
